Date;Game;Result;
15/10/2023, 14:51;Brazil - Argentina;2:1(0:0);
15/10/2023, 14:48;France - England;3:1(1:0);
15/10/2023, 14:45;Germany - Netherlands;3:0(1:0);
15/10/2023, 14:42;Armenia - Italy;1:3(0:1);
15/10/2023, 14:39;Argentina - Germany;2:1(0:0);
15/10/2023, 14:36;Brazil - England;1:0(0:0);
15/10/2023, 14:33;Netherlands - Belgium;0:3(0:0);
15/10/2023, 14:30;Spain - France;1:1(1:0);
15/10/2023, 14:27;Belgium - Argentina;1:2(1:0);
15/10/2023, 14:24;Spain - England;0:2(0:1);
15/10/2023, 14:21;France - Italy;0:0(0:0);
15/10/2023, 14:18;Armenia - Netherlands;2:2(1:2);
15/10/2023, 14:15;Germany - Brazil;0:2(0:2);
15/10/2023, 14:12;Germany - Argentina;2:1(1:1);
15/10/2023, 14:09;Brazil - Netherlands;2:0(0:0);
15/10/2023, 14:06;Belgium - Armenia;2:1(1:0);
15/10/2023, 14:03;France - Netherlands;3:1(0:1);
15/10/2023, 14:00;Argentina - Italy;1:1(1:1);
15/10/2023, 13:57;Armenia - Germany;0:0(0:0);
15/10/2023, 13:54;Spain - England;2:1(1:1);
15/10/2023, 13:51;Brazil - Belgium;0:0(0:0);
15/10/2023, 13:48;Germany - Spain;3:0(2:0);
15/10/2023, 13:45;Argentina - Italy;2:2(0:0);
15/10/2023, 13:42;France - Armenia;2:0(1:0);
15/10/2023, 13:39;Belgium - Netherlands;0:2(0:1);
15/10/2023, 13:36;Brazil - England;2:2(0:0);
15/10/2023, 13:33;Spain - Netherlands;2:0(0:0);
15/10/2023, 13:30;Germany - England;1:1(0:0);
15/10/2023, 13:27;Italy - Belgium;1:1(0:1);
15/10/2023, 13:24;Brazil - France;1:1(0:0);
15/10/2023, 13:21;Argentina - Armenia;1:0(1:0);
15/10/2023, 13:18;France - Brazil;1:0(1:0);
15/10/2023, 13:15;Argentina - Spain;1:1(0:1);
15/10/2023, 13:12;Armenia - Belgium;2:1(0:1);
15/10/2023, 13:09;Germany - Italy;3:1(1:1);
15/10/2023, 13:06;Netherlands - England;2:1(1:0);
15/10/2023, 13:03;Italy - Germany;0:0(0:0);
15/10/2023, 13:00;France - Armenia;1:0(1:0);
15/10/2023, 12:57;Belgium - Spain;1:3(1:2);
15/10/2023, 12:54;Brazil - Netherlands;3:1(1:0);
15/10/2023, 12:51;England - Argentina;2:1(1:0);
15/10/2023, 12:48;Spain - Belgium;1:0(1:0);
15/10/2023, 12:45;Netherlands - Armenia;2:1(2:1);
15/10/2023, 12:42;England - Italy;3:1(3:0);
15/10/2023, 12:39;Germany - Argentina;2:2(0:1);
15/10/2023, 12:36;Netherlands - Germany;1:0(1:0);
15/10/2023, 12:33;Spain - Italy;2:0(0:0);
15/10/2023, 12:30;France - Belgium;1:1(1:1);
15/10/2023, 12:27;England - Brazil;1:2(0:1);
15/10/2023, 12:24;Armenia - Argentina;3:1(1:1);
15/10/2023, 12:21;Belgium - Netherlands;2:2(1:2);
15/10/2023, 12:18;Germany - France;2:0(1:0);
15/10/2023, 12:15;Armenia - Brazil;2:2(2:1);
15/10/2023, 12:12;Argentina - Italy;0:2(0:0);
15/10/2023, 12:09;Spain - England;4:0(2:0);
15/10/2023, 12:06;Brazil - Argentina;0:3(0:3);
15/10/2023, 12:03;Armenia - Belgium;1:2(1:1);
15/10/2023, 12:00;Germany - Netherlands;2:0(0:0);
15/10/2023, 11:57;France - Italy;0:1(0:1);
15/10/2023, 11:54;England - Spain;1:2(1:1);
15/10/2023, 11:51;England - Armenia;2:2(1:0);
15/10/2023, 11:48;France - Argentina;1:0(1:0);
15/10/2023, 11:45;Italy - Belgium;2:2(0:0);
15/10/2023, 11:42;Spain - Netherlands;0:1(0:1);
15/10/2023, 11:39;Armenia - Netherlands;2:1(1:0);
15/10/2023, 11:36;Germany - Spain;0:0(0:0);
15/10/2023, 11:33;Belgium - England;1:1(0:0);
15/10/2023, 11:30;Argentina - France;1:0(1:0);
15/10/2023, 11:27;Italy - Brazil;2:0(1:0);
15/10/2023, 11:24;Italy - Spain;0:2(0:0);
15/10/2023, 11:21;France - England;2:0(1:0);
15/10/2023, 11:18;Netherlands - Argentina;1:1(0:1);
15/10/2023, 11:15;Belgium - Brazil;2:1(0:1);
15/10/2023, 11:12;Germany - Armenia;2:0(1:0);
15/10/2023, 11:09;Armenia - England;0:1(0:1);
15/10/2023, 11:06;Germany - Spain;0:0(0:0);
15/10/2023, 11:03;France - Belgium;3:1(1:0);
15/10/2023, 11:00;Brazil - Italy;0:1(0:0);
15/10/2023, 10:57;Netherlands - Argentina;2:0(1:0);
15/10/2023, 10:54;England - Argentina;2:1(2:0);
15/10/2023, 10:51;Belgium - Netherlands;2:1(1:1);
15/10/2023, 10:48;France - Germany;3:1(2:0);
15/10/2023, 10:45;Spain - Italy;1:2(1:1);
15/10/2023, 10:42;England - Brazil;1:1(1:0);
15/10/2023, 10:39;Spain - Armenia;0:0(0:0);
15/10/2023, 10:36;Italy - Germany;2:1(2:1);
15/10/2023, 10:33;Argentina - Belgium;3:0(1:0);
15/10/2023, 10:30;France - Netherlands;1:0(0:0);
15/10/2023, 10:27;Spain - Belgium;1:2(0:1);
15/10/2023, 10:24;France - Argentina;2:1(0:0);
15/10/2023, 10:21;Netherlands - Armenia;2:2(0:0);
15/10/2023, 10:18;Brazil - Germany;0:1(0:0);
15/10/2023, 10:15;England - Italy;3:1(2:1);
15/10/2023, 10:12;Argentina - Brazil;3:1(1:0);
15/10/2023, 10:09;France - Belgium;3:1(3:0);
15/10/2023, 10:06;England - Germany;3:1(0:0);
15/10/2023, 10:03;Italy - Armenia;4:0(2:0);
15/10/2023, 10:00;Netherlands - Spain;1:2(0:0);
15/10/2023, 09:57;Brazil - Italy;0:1(0:1);
